,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
1,USGS,02085070,2018-11-08 00:00,EST,192,P,2.62,P
2,USGS,02085070,2018-11-08 00:15,EST,192,P,2.62,P
3,USGS,02085070,2018-11-08 00:30,EST,192,P,2.62,P
4,USGS,02085070,2018-11-08 00:45,EST,189,P,2.61,P
5,USGS,02085070,2018-11-08 01:00,EST,189,P,2.61,P
6,USGS,02085070,2018-11-08 01:15,EST,187,P,2.60,P
7,USGS,02085070,2018-11-08 01:30,EST,187,P,2.60,P
8,USGS,02085070,2018-11-08 01:45,EST,187,P,2.60,P
9,USGS,02085070,2018-11-08 02:00,EST,187,P,2.60,P
10,USGS,02085070,2018-11-08 02:15,EST,187,P,2.60,P
11,USGS,02085070,2018-11-08 02:30,EST,185,P,2.59,P
12,USGS,02085070,2018-11-08 02:45,EST,185,P,2.59,P
13,USGS,02085070,2018-11-08 03:00,EST,182,P,2.58,P
14,USGS,02085070,2018-11-08 03:15,EST,185,P,2.59,P
15,USGS,02085070,2018-11-08 03:30,EST,182,P,2.58,P
16,USGS,02085070,2018-11-08 03:45,EST,182,P,2.58,P
17,USGS,02085070,2018-11-08 04:00,EST,180,P,2.57,P
18,USGS,02085070,2018-11-08 04:15,EST,180,P,2.57,P
19,USGS,02085070,2018-11-08 04:30,EST,180,P,2.57,P
20,USGS,02085070,2018-11-08 04:45,EST,180,P,2.57,P
21,USGS,02085070,2018-11-08 05:00,EST,180,P,2.57,P
22,USGS,02085070,2018-11-08 05:15,EST,178,P,2.56,P
23,USGS,02085070,2018-11-08 05:30,EST,178,P,2.56,P
24,USGS,02085070,2018-11-08 05:45,EST,178,P,2.56,P
25,USGS,02085070,2018-11-08 06:00,EST,178,P,2.56,P
26,USGS,02085070,2018-11-08 06:15,EST,176,P,2.55,P
27,USGS,02085070,2018-11-08 06:30,EST,176,P,2.55,P
28,USGS,02085070,2018-11-08 06:45,EST,176,P,2.55,P
29,USGS,02085070,2018-11-08 07:00,EST,173,P,2.54,P
30,USGS,02085070,2018-11-08 07:15,EST,173,P,2.54,P
31,USGS,02085070,2018-11-08 07:30,EST,173,P,2.54,P
32,USGS,02085070,2018-11-08 07:45,EST,173,P,2.54,P
33,USGS,02085070,2018-11-08 08:00,EST,173,P,2.54,P
34,USGS,02085070,2018-11-08 08:15,EST,173,P,2.54,P
35,USGS,02085070,2018-11-08 08:30,EST,173,P,2.54,P
36,USGS,02085070,2018-11-08 08:45,EST,171,P,2.53,P
37,USGS,02085070,2018-11-08 09:00,EST,171,P,2.53,P
38,USGS,02085070,2018-11-08 09:15,EST,171,P,2.53,P
39,USGS,02085070,2018-11-08 09:30,EST,169,P,2.52,P
40,USGS,02085070,2018-11-08 09:45,EST,169,P,2.52,P
41,USGS,02085070,2018-11-08 10:00,EST,169,P,2.52,P
42,USGS,02085070,2018-11-08 10:15,EST,169,P,2.52,P
43,USGS,02085070,2018-11-08 10:30,EST,169,P,2.52,P
44,USGS,02085070,2018-11-08 10:45,EST,167,P,2.51,P
45,USGS,02085070,2018-11-08 11:00,EST,167,P,2.51,P
46,USGS,02085070,2018-11-08 11:15,EST,167,P,2.51,P
47,USGS,02085070,2018-11-08 11:30,EST,167,P,2.51,P
48,USGS,02085070,2018-11-08 11:45,EST,165,P,2.50,P
49,USGS,02085070,2018-11-08 12:00,EST,165,P,2.50,P
50,USGS,02085070,2018-11-08 12:15,EST,165,P,2.50,P
51,USGS,02085070,2018-11-08 12:30,EST,165,P,2.50,P
52,USGS,02085070,2018-11-08 12:45,EST,165,P,2.50,P
53,USGS,02085070,2018-11-08 13:00,EST,163,P,2.49,P
54,USGS,02085070,2018-11-08 13:15,EST,163,P,2.49,P
55,USGS,02085070,2018-11-08 13:30,EST,163,P,2.49,P
56,USGS,02085070,2018-11-08 13:45,EST,160,P,2.48,P
57,USGS,02085070,2018-11-08 14:00,EST,160,P,2.48,P
58,USGS,02085070,2018-11-08 14:15,EST,160,P,2.48,P
59,USGS,02085070,2018-11-08 14:30,EST,160,P,2.48,P
60,USGS,02085070,2018-11-08 14:45,EST,158,P,2.47,P
61,USGS,02085070,2018-11-08 15:00,EST,160,P,2.48,P
62,USGS,02085070,2018-11-08 15:15,EST,158,P,2.47,P
63,USGS,02085070,2018-11-08 15:30,EST,158,P,2.47,P
64,USGS,02085070,2018-11-08 15:45,EST,158,P,2.47,P
65,USGS,02085070,2018-11-08 16:00,EST,156,P,2.46,P
66,USGS,02085070,2018-11-08 16:15,EST,158,P,2.47,P
67,USGS,02085070,2018-11-08 16:30,EST,156,P,2.46,P
68,USGS,02085070,2018-11-08 16:45,EST,156,P,2.46,P
69,USGS,02085070,2018-11-08 17:00,EST,154,P,2.45,P
70,USGS,02085070,2018-11-08 17:15,EST,156,P,2.46,P
71,USGS,02085070,2018-11-08 17:30,EST,154,P,2.45,P
72,USGS,02085070,2018-11-08 17:45,EST,154,P,2.45,P
73,USGS,02085070,2018-11-08 18:00,EST,154,P,2.45,P
74,USGS,02085070,2018-11-08 18:15,EST,154,P,2.45,P
75,USGS,02085070,2018-11-08 18:30,EST,154,P,2.45,P
76,USGS,02085070,2018-11-08 18:45,EST,154,P,2.45,P
77,USGS,02085070,2018-11-08 19:00,EST,152,P,2.44,P
78,USGS,02085070,2018-11-08 19:15,EST,152,P,2.44,P
79,USGS,02085070,2018-11-08 19:30,EST,152,P,2.44,P
80,USGS,02085070,2018-11-08 19:45,EST,150,P,2.43,P
81,USGS,02085070,2018-11-08 20:00,EST,150,P,2.43,P
82,USGS,02085070,2018-11-08 20:15,EST,150,P,2.43,P
83,USGS,02085070,2018-11-08 20:30,EST,150,P,2.43,P
84,USGS,02085070,2018-11-08 20:45,EST,150,P,2.43,P
